年（和暦）,年（西暦）,月,項目,単位,値
平成28,2016,8,女,人,1873730
平成28,2016,9,市域面積,km2,435.29
平成28,2016,9,世帯数,世帯,1659808
平成28,2016,9,人口総数,人,3731471
平成28,2016,9,男,人,1857598
平成28,2016,9,女,人,1873873
平成28,2016,10,市域面積,km2,435.29
平成28,2016,10,世帯数,世帯,1660256
平成28,2016,10,人口総数,人,3731293
平成28,2016,10,男,人,1857367
平成28,2016,10,女,人,1873926
平成28,2016,11,市域面積,km2,435.29
平成28,2016,11,世帯数,世帯,1661687
平成28,2016,11,人口総数,人,3732768
平成28,2016,11,男,人,1858235
平成28,2016,11,女,人,1874533
平成28,2016,12,市域面積,km2,435.29
平成28,2016,12,世帯数,世帯,1661280
平成28,2016,12,人口総数,人,3732092
平成28,2016,12,男,人,1857710
平成28,2016,12,女,人,1874382
平成29,2017,1,市域面積,km2,435.29
平成29,2017,1,世帯数,世帯,1661002
平成29,2017,1,人口総数,人,3731096
平成29,2017,1,男,人,1857056
平成29,2017,1,女,人,1874040
平成29,2017,2,市域面積,km2,435.29
平成29,2017,2,世帯数,世帯,1660623
平成29,2017,2,人口総数,人,3730158
平成29,2017,2,男,人,1856435
平成29,2017,2,女,人,1873723
平成29,2017,3,市域面積,km2,435.29
平成29,2017,3,世帯数,世帯,1659702
平成29,2017,3,人口総数,人,3728021
平成29,2017,3,男,人,1855045
平成29,2017,3,女,人,1872976
平成29,2017,4,市域面積,km2,435.29
平成29,2017,4,世帯数,世帯,1665516
平成29,2017,4,人口総数,人,3728124
平成29,2017,4,男,人,1854298
平成29,2017,4,女,人,1873826
平成29,2017,5,市域面積,km2,435.29
平成29,2017,5,世帯数,世帯,1671190
平成29,2017,5,人口総数,人,3733807
平成29,2017,5,男,人,1857564
平成29,2017,5,女,人,1876243
平成29,2017,6,市域面積,km2,435.29
平成29,2017,6,世帯数,世帯,1672080
平成29,2017,6,人口総数,人,3733975
平成29,2017,6,男,人,1857488
平成29,2017,6,女,人,1876487
平成29,2017,7,市域面積,km2,435.29
平成29,2017,7,世帯数,世帯,1673006
平成29,2017,7,人口総数,人,3733973
平成29,2017,7,男,人,1857311
平成29,2017,7,女,人,1876662
平成29,2017,8,市域面積,km2,435.29
平成29,2017,8,世帯数,世帯,1673220
平成29,2017,8,人口総数,人,3733886
平成29,2017,8,男,人,1857125
平成29,2017,8,女,人,1876761
平成29,2017,9,市域面積,km2,435.29
平成29,2017,9,世帯数,世帯,1673422
平成29,2017,9,人口総数,人,3733791
平成29,2017,9,男,人,1856938
平成29,2017,9,女,人,1876853
平成29,2017,10,市域面積,km2,435.29
平成29,2017,10,世帯数,世帯,1673662
平成29,2017,10,人口総数,人,3733234
平成29,2017,10,男,人,1856298
平成29,2017,10,女,人,1876936
平成29,2017,11,市域面積,km2,435.29
平成29,2017,11,世帯数,世帯,1675092
平成29,2017,11,人口総数,人,3734580
平成29,2017,11,男,人,1856901
平成29,2017,11,女,人,1877679
平成29,2017,12,市域面積,km2,435.29
平成29,2017,12,世帯数,世帯,1675027
平成29,2017,12,人口総数,人,3734012
平成29,2017,12,男,人,1856473
平成29,2017,12,女,人,1877539
平成30,2018,1,市域面積,km2,435.29
平成30,2018,1,世帯数,世帯,1674601
平成30,2018,1,人口総数,人,3733084
平成30,2018,1,男,人,1855789
平成30,2018,1,女,人,1877295
平成30,2018,2,市域面積,km2,435.29
平成30,2018,2,世帯数,世帯,1674043
平成30,2018,2,人口総数,人,3731665
平成30,2018,2,男,人,1855065
平成30,2018,2,女,人,1876600
平成30,2018,3,市域面積,km2,435.29
平成30,2018,3,世帯数,世帯,1673511
平成30,2018,3,人口総数,人,3729729
平成30,2018,3,男,人,1854057
平成30,2018,3,女,人,1875672
平成30,2018,4,市域面積,km2,435.43
平成30,2018,4,世帯数,世帯,1680768
平成30,2018,4,人口総数,人,3731706
平成30,2018,4,男,人,1854619
平成30,2018,4,女,人,1877087
平成30,2018,5,市域面積,km2,435.43
平成30,2018,5,世帯数,世帯,1687330
平成30,2018,5,人口総数,人,3739030
平成30,2018,5,男,人,1858678
平成30,2018,5,女,人,1880352
平成30,2018,6,市域面積,km2,435.43
平成30,2018,6,世帯数,世帯,1688999
平成30,2018,6,人口総数,人,3740497
平成30,2018,6,男,人,1859189
平成30,2018,6,女,人,1881308
平成30,2018,7,市域面積,km2,435.43
平成30,2018,7,世帯数,世帯,1689894
平成30,2018,7,人口総数,人,3740833
平成30,2018,7,男,人,1859155
平成30,2018,7,女,人,1881678
平成30,2018,8,市域面積,km2,435.43
平成30,2018,8,世帯数,世帯,1690284
平成30,2018,8,人口総数,人,3740617
平成30,2018,8,男,人,1859119
平成30,2018,8,女,人,1881498
平成30,2018,9,市域面積,km2,435.43
平成30,2018,9,世帯数,世帯,1690463
平成30,2018,9,人口総数,人,3740367
平成30,2018,9,男,人,1858959
平成30,2018,9,女,人,1881408
平成30,2018,10,市域面積,km2,435.43
平成30,2018,10,世帯数,世帯,1690932
平成30,2018,10,人口総数,人,3740172
平成30,2018,10,男,人,1858663
平成30,2018,10,女,人,1881509
平成30,2018,11,市域面積,km2,435.43
平成30,2018,11,世帯数,世帯,1692559
平成30,2018,11,人口総数,人,3741765
平成30,2018,11,男,人,1859375
平成30,2018,11,女,人,1882390
平成30,2018,12,市域面積,km2,435.43
平成30,2018,12,世帯数,世帯,1692526
平成30,2018,12,人口総数,人,3741255
平成30,2018,12,男,人,1859111
平成30,2018,12,女,人,1882144
平成31,2019,1,市域面積,km2,435.43
平成31,2019,1,世帯数,世帯,1692610
平成31,2019,1,人口総数,人,3740944
平成31,2019,1,男,人,1858705
平成31,2019,1,女,人,1882239
平成31,2019,2,市域面積,km2,435.43
平成31,2019,2,世帯数,世帯,1692156
平成31,2019,2,人口総数,人,3739836
平成31,2019,2,男,人,1858087
平成31,2019,2,女,人,1881749
平成31,2019,3,市域面積,km2,435.43
平成31,2019,3,世帯数,世帯,1692222
平成31,2019,3,人口総数,人,3738419
平成31,2019,3,男,人,1857315
平成31,2019,3,女,人,1881104
平成31,2019,4,市域面積,km2,435.43
平成31,2019,4,世帯数,世帯,1700306
平成31,2019,4,人口総数,人,3741317
平成31,2019,4,男,人,1858352
平成31,2019,4,女,人,1882965
令和元,2019,5,市域面積,km2,435.43
令和元,2019,5,世帯数,世帯,1706940
令和元,2019,5,人口総数,人,3747967
令和元,2019,5,男,人,1862197
令和元,2019,5,女,人,1885770
令和元,2019,6,市域面積,km2,435.43
令和元,2019,6,世帯数,世帯,1707854
令和元,2019,6,人口総数,人,3748482
令和元,2019,6,男,人,1862395
令和元,2019,6,女,人,1886087
令和元,2019,7,市域面積,km2,435.43
令和元,2019,7,世帯数,世帯,1708884
令和元,2019,7,人口総数,人,3748433
令和元,2019,7,男,人,1862230
令和元,2019,7,女,人,1886203
令和元,2019,8,市域面積,km2,435.43
令和元,2019,8,世帯数,世帯,1709616
令和元,2019,8,人口総数,人,3748473
令和元,2019,8,男,人,1862371
令和元,2019,8,女,人,1886102
令和元,2019,9,市域面積,km2,435.43
令和元,2019,9,世帯数,世帯,1710077
令和元,2019,9,人口総数,人,3748322
令和元,2019,9,男,人,1862199
令和元,2019,9,女,人,1886123
令和元,2019,10,市域面積,km2,435.43
令和元,2019,10,世帯数,世帯,1710900
令和元,2019,10,人口総数,人,3748781
令和元,2019,10,男,人,1862158
令和元,2019,10,女,人,1886623
令和元,2019,11,市域面積,km2,435.43
令和元,2019,11,世帯数,世帯,1712681
令和元,2019,11,人口総数,人,3750395
令和元,2019,11,男,人,1863019
令和元,2019,11,女,人,1887376
令和元,2019,12,市域面積,km2,435.43
令和元,2019,12,世帯数,世帯,1712830
令和元,2019,12,人口総数,人,3749972
令和元,2019,12,男,人,1862774
令和元,2019,12,女,人,1887198
令和２,2020,1,市域面積,km2,435.43
令和２,2020,1,世帯数,世帯,1713356
令和２,2020,1,人口総数,人,3749929
令和２,2020,1,男,人,1862571
令和２,2020,1,女,人,1887358
令和２,2020,2,市域面積,km2,435.43
令和２,2020,2,世帯数,世帯,1713417
令和２,2020,2,人口総数,人,3749162
令和２,2020,2,男,人,1862214
令和２,2020,2,女,人,1886948
令和２,2020,3,市域面積,km2,435.43
令和２,2020,3,世帯数,世帯,1713760
令和２,2020,3,人口総数,人,3748386
令和２,2020,3,男,人,1861636
令和２,2020,3,女,人,1886750
令和２,2020,4,市域面積,km2,435.5
令和２,2020,4,世帯数,世帯,1723409
令和２,2020,4,人口総数,人,3753771
令和２,2020,4,男,人,1864349
令和２,2020,4,女,人,1889422
令和２,2020,5,市域面積,km2,435.5
令和２,2020,5,世帯数,世帯,1729908
令和２,2020,5,人口総数,人,3760467
令和２,2020,5,男,人,1868049
令和２,2020,5,女,人,1892418
令和２,2020,6,市域面積,km2,435.5
令和２,2020,6,世帯数,世帯,1730110
令和２,2020,6,人口総数,人,3760157
令和２,2020,6,男,人,1867812
令和２,2020,6,女,人,1892345
令和２,2020,7,市域面積,km2,435.5
令和２,2020,7,世帯数,世帯,1730621
令和２,2020,7,人口総数,人,3759595
令和２,2020,7,男,人,1867480
令和２,2020,7,女,人,1892115
令和２,2020,8,市域面積,km2,435.5
令和２,2020,8,世帯数,世帯,1730612
令和２,2020,8,人口総数,人,3758058
令和２,2020,8,男,人,1866703
令和２,2020,8,女,人,1891355
令和２,2020,9,市域面積,km2,435.5
令和２,2020,9,世帯数,世帯,1731071
令和２,2020,9,人口総数,人,3757630
令和２,2020,9,男,人,1866456
令和２,2020,9,女,人,1891174
令和２,2020,10,市域面積,km2,437.71
令和２,2020,10,世帯数,世帯,1753081
令和２,2020,10,人口総数,人,3777491
令和２,2020,10,男,人,1867305
令和２,2020,10,女,人,1910186
令和２,2020,11,市域面積,km2,437.71
令和２,2020,11,世帯数,世帯,1753456
令和２,2020,11,人口総数,人,3776898
令和２,2020,11,男,人,1866884
令和２,2020,11,女,人,1910014
令和２,2020,12,市域面積,km2,437.71
令和２,2020,12,世帯数,世帯,1753987
令和２,2020,12,人口総数,人,3776730
令和２,2020,12,男,人,1866759
令和２,2020,12,女,人,1909971
令和３,2021,1,市域面積,km2,437.71
令和３,2021,1,世帯数,世帯,1754256
令和３,2021,1,人口総数,人,3776286
令和３,2021,1,男,人,1866381
令和３,2021,1,女,人,1909905
令和３,2021,2,市域面積,km2,437.71
令和３,2021,2,世帯数,世帯,1753846
令和３,2021,2,人口総数,人,3774271
令和３,2021,2,男,人,1865286
令和３,2021,2,女,人,1908985
令和３,2021,3,市域面積,km2,437.71
令和３,2021,3,世帯数,世帯,1754131
令和３,2021,3,人口総数,人,3772457
令和３,2021,3,男,人,1864294
令和３,2021,3,女,人,1908163
令和３,2021,4,市域面積,km2,437.71
令和３,2021,4,世帯数,世帯,1762612
令和３,2021,4,人口総数,人,3775319
令和３,2021,4,男,人,1865423
令和３,2021,4,女,人,1909896
令和３,2021,5,市域面積,km2,437.71
令和３,2021,5,世帯数,世帯,1767031
令和３,2021,5,人口総数,人,3779446
令和３,2021,5,男,人,1867611
令和３,2021,5,女,人,1911835
令和３,2021,6,市域面積,km2,437.71
令和３,2021,6,世帯数,世帯,1767713
令和３,2021,6,人口総数,人,3779063
令和３,2021,6,男,人,1867293
令和３,2021,6,女,人,1911770
令和３,2021,7,市域面積,km2,437.78
令和３,2021,7,世帯数,世帯,1768319
令和３,2021,7,人口総数,人,3778564
令和３,2021,7,男,人,1866812
令和３,2021,7,女,人,1911752
令和３,2021,8,市域面積,km2,437.78
令和３,2021,8,世帯数,世帯,1768468
令和３,2021,8,人口総数,人,3778049
令和３,2021,8,男,人,1866464
令和３,2021,8,女,人,1911585
令和３,2021,9,市域面積,km2,437.78
令和３,2021,9,世帯数,世帯,1768323
令和３,2021,9,人口総数,人,3777436
令和３,2021,9,男,人,1865994
令和３,2021,9,女,人,1911442
令和３,2021,10,市域面積,km2,437.78
令和３,2021,10,世帯数,世帯,1767218
令和３,2021,10,人口総数,人,3775352
令和３,2021,10,男,人,1864667
令和３,2021,10,女,人,1910685
令和３,2021,11,市域面積,km2,437.78
令和３,2021,11,世帯数,世帯,1767654
令和３,2021,11,人口総数,人,3774936
令和３,2021,11,男,人,1864213
令和３,2021,11,女,人,1910723
令和３,2021,12,市域面積,km2,437.78
令和３,2021,12,世帯数,世帯,1767422
令和３,2021,12,人口総数,人,3773982
令和３,2021,12,男,人,1863530
令和３,2021,12,女,人,1910452
令和４,2022,1,市域面積,km2,437.78
令和４,2022,1,世帯数,世帯,1766617
令和４,2022,1,人口総数,人,3772029
令和４,2022,1,男,人,1862325
令和４,2022,1,女,人,1909704
令和４,2022,2,市域面積,km2,437.78
令和４,2022,2,世帯数,世帯,1764924
令和４,2022,2,人口総数,人,3768902
令和４,2022,2,男,人,1860563
令和４,2022,2,女,人,1908339
令和４,2022,3,市域面積,km2,437.78
令和４,2022,3,世帯数,世帯,1764011
令和４,2022,3,人口総数,人,3766056
令和４,2022,3,男,人,1858911
令和４,2022,3,女,人,1907145
令和４,2022,4,市域面積,km2,437.78
令和４,2022,4,世帯数,世帯,1772142
令和４,2022,4,人口総数,人,3768363
令和４,2022,4,男,人,1859615
令和４,2022,4,女,人,1908748
令和４,2022,5,市域面積,km2,437.78
令和４,2022,5,世帯数,世帯,1777482
令和４,2022,5,人口総数,人,3773214
令和４,2022,5,男,人,1862176
令和４,2022,5,女,人,1911038
令和４,2022,6,市域面積,km2,437.78
令和４,2022,6,世帯数,世帯,1779834
令和４,2022,6,人口総数,人,3774369
令和４,2022,6,男,人,1862663
令和４,2022,6,女,人,1911706
令和４,2022,7,市域面積,km2,437.78
令和４,2022,7,世帯数,世帯,1780633
令和４,2022,7,人口総数,人,3773673
令和４,2022,7,男,人,1862176
令和４,2022,7,女,人,1911497
令和４,2022,8,市域面積,km2,437.78
令和４,2022,8,世帯数,世帯,1781296
令和４,2022,8,人口総数,人,3773607
令和４,2022,8,男,人,1861857
令和４,2022,8,女,人,1911750
令和４,2022,9,市域面積,km2,437.78
令和４,2022,9,世帯数,世帯,1781423
令和４,2022,9,人口総数,人,3772887
令和４,2022,9,男,人,1861445
令和４,2022,9,女,人,1911442
令和４,2022,10,市域面積,km2,437.78
令和４,2022,10,世帯数,世帯,1781879
令和４,2022,10,人口総数,人,3771961
令和４,2022,10,男,人,1860765
令和４,2022,10,女,人,1911196
令和４,2022,11,市域面積,km2,437.78
令和４,2022,11,世帯数,世帯,1782805
令和４,2022,11,人口総数,人,3772421
令和４,2022,11,男,人,1861071
令和４,2022,11,女,人,1911350
令和４,2022,12,市域面積,km2,438.01
令和４,2022,12,世帯数,世帯,1783097
令和４,2022,12,人口総数,人,3771640
令和４,2022,12,男,人,1860598
令和４,2022,12,女,人,1911042
令和５,2023,1,市域面積,km2,438.01
令和５,2023,1,世帯数,世帯,1782399
令和５,2023,1,人口総数,人,3769595
令和５,2023,1,男,人,1859476
令和５,2023,1,女,人,1910119
令和５,2023,2,市域面積,km2,438.01
令和５,2023,2,世帯数,世帯,1781426
令和５,2023,2,人口総数,人,3766999
令和５,2023,2,男,人,1858059
令和５,2023,2,女,人,1908940
令和５,2023,3,市域面積,km2,438.01
令和５,2023,3,世帯数,世帯,1781461
令和５,2023,3,人口総数,人,3765271
令和５,2023,3,男,人,1857098
令和５,2023,3,女,人,1908173
令和５,2023,4,市域面積,km2,438.01
令和５,2023,4,世帯数,世帯,1790597
令和５,2023,4,人口総数,人,3768664
令和５,2023,4,男,人,1858514
令和５,2023,4,女,人,1910150
令和５,2023,5,市域面積,km2,438.01
令和５,2023,5,世帯数,世帯,1796344
令和５,2023,5,人口総数,人,3774180
令和５,2023,5,男,人,1861363
令和５,2023,5,女,人,1912817
令和５,2023,6,市域面積,km2,438.01
令和５,2023,6,世帯数,世帯,1797824
令和５,2023,6,人口総数,人,3774611
令和５,2023,6,男,人,1861500
令和５,2023,6,女,人,1913111
令和５,2023,7,市域面積,km2,438.01
令和５,2023,7,世帯数,世帯,1798172
令和５,2023,7,人口総数,人,3773602
令和５,2023,7,男,人,1860996
令和５,2023,7,女,人,1912606
令和５,2023,8,市域面積,km2,438.01
令和５,2023,8,世帯数,世帯,1798832
令和５,2023,8,人口総数,人,3773403
令和５,2023,8,男,人,1860777
令和５,2023,8,女,人,1912626
令和５,2023,9,市域面積,km2,438.01
令和５,2023,9,世帯数,世帯,1798741
令和５,2023,9,人口総数,人,3772440
令和５,2023,9,男,人,1859971
令和５,2023,9,女,人,1912469
令和５,2023,10,市域面積,km2,438.01
令和５,2023,10,世帯数,世帯,1799480
令和５,2023,10,人口総数,人,3771766
令和５,2023,10,男,人,1859345
令和５,2023,10,女,人,1912421
令和５,2023,11,市域面積,km2,438.01
令和５,2023,11,世帯数,世帯,1800370
令和５,2023,11,人口総数,人,3771611
令和５,2023,11,男,人,1859320
令和５,2023,11,女,人,1912291
令和５,2023,12,市域面積,km2,438.01
令和５,2023,12,世帯数,世帯,1800294
令和５,2023,12,人口総数,人,3770179
令和５,2023,12,男,人,1858693
令和５,2023,12,女,人,1911486
令和６,2024,1,市域面積,km2,438.01
令和６,2024,1,世帯数,世帯,1800110
令和６,2024,1,人口総数,人,3769220
令和６,2024,1,男,人,1857980
令和６,2024,1,女,人,1911240
令和６,2024,2,市域面積,km2,438.01
令和６,2024,2,世帯数,世帯,1799225
令和６,2024,2,人口総数,人,3766718
令和６,2024,2,男,人,1856606
令和６,2024,2,女,人,1910112
令和６,2024,3,市域面積,km2,438.01
令和６,2024,3,世帯数,世帯,1799059
令和６,2024,3,人口総数,人,3764961
令和６,2024,3,男,人,1855822
令和６,2024,3,女,人,1909139
令和６,2024,4,市域面積,km2,438.01
令和６,2024,4,世帯数,世帯,1807344
令和６,2024,4,人口総数,人,3767635
令和６,2024,4,男,人,1857066
令和６,2024,4,女,人,1910569
令和６,2024,5,市域面積,km2,438.01
令和６,2024,5,世帯数,世帯,1813835
令和６,2024,5,人口総数,人,3773050
令和６,2024,5,男,人,1859994
令和６,2024,5,女,人,1913056
令和６,2024,6,市域面積,km2,438.01
令和６,2024,6,世帯数,世帯,1814803
令和６,2024,6,人口総数,人,3772726
令和６,2024,6,男,人,1859813
令和６,2024,6,女,人,1912913
令和６,2024,7,市域面積,km2,438.01
令和６,2024,7,世帯数,世帯,1815909
令和６,2024,7,人口総数,人,3772190
令和６,2024,7,男,人,1859310
令和６,2024,7,女,人,1912880
令和６,2024,8,市域面積,km2,438.23
令和６,2024,8,世帯数,世帯,1816409
令和６,2024,8,人口総数,人,3771769
令和６,2024,8,男,人,1859296
令和６,2024,8,女,人,1912473
令和６,2024,9,市域面積,km2,438.23
令和６,2024,9,世帯数,世帯,1816480
令和６,2024,9,人口総数,人,3770960
令和６,2024,9,男,人,1858750
令和６,2024,9,女,人,1912210
令和６,2024,10,市域面積,km2,438.23
令和６,2024,10,世帯数,世帯,1817762
令和６,2024,10,人口総数,人,3771063
令和６,2024,10,男,人,1858735
令和６,2024,10,女,人,1912328
令和６,2024,11,市域面積,km2,438.23
令和６,2024,11,世帯数,世帯,1819775
令和６,2024,11,人口総数,人,3772123
令和６,2024,11,男,人,1859323
令和６,2024,11,女,人,1912800
令和６,2024,12,市域面積,km2,438.23
令和６,2024,12,世帯数,世帯,1819632
令和６,2024,12,人口総数,人,3771005
令和６,2024,12,男,人,1858767
令和６,2024,12,女,人,1912238
令和７,2025,1,市域面積,km2,438.23
令和７,2025,1,世帯数,世帯,1819315
令和７,2025,1,人口総数,人,3769584
令和７,2025,1,男,人,1857904
令和７,2025,1,女,人,1911680
令和７,2025,2,市域面積,km2,438.23
令和７,2025,2,世帯数,世帯,1818320
令和７,2025,2,人口総数,人,3766732
令和７,2025,2,男,人,1856327
令和７,2025,2,女,人,1910405
令和７,2025,3,市域面積,km2,438.23
令和７,2025,3,世帯数,世帯,1818337
令和７,2025,3,人口総数,人,3764821
令和７,2025,3,男,人,1855204
令和７,2025,3,女,人,1909617
令和７,2025,4,市域面積,km2,438.23
令和７,2025,4,世帯数,世帯,1827978
令和７,2025,4,人口総数,人,3769150
令和７,2025,4,男,人,1857386
令和７,2025,4,女,人,1911764
令和７,2025,5,市域面積,km2,438.23
令和７,2025,5,世帯数,世帯,1834488
令和７,2025,5,人口総数,人,3774447
令和７,2025,5,男,人,1860123
令和７,2025,5,女,人,1914324
令和７,2025,6,市域面積,km2,438.23
令和７,2025,6,世帯数,世帯,1835664
令和７,2025,6,人口総数,人,3774179
令和７,2025,6,男,人,1859936
令和７,2025,6,女,人,1914243
令和７,2025,7,市域面積,km2,438.23
令和７,2025,7,世帯数,世帯,1836601
令和７,2025,7,人口総数,人,3773476
令和７,2025,7,男,人,1859408
令和７,2025,7,女,人,1914068
令和７,2025,8,市域面積,km2,438.23
令和７,2025,8,世帯数,世帯,1836843
令和７,2025,8,人口総数,人,3772737
令和７,2025,8,男,人,1859132
令和７,2025,8,女,人,1913605
令和７,2025,9,市域面積,km2,438.23
令和７,2025,9,世帯数,世帯,1836882
令和７,2025,9,人口総数,人,3772320
令和７,2025,9,男,人,1858834
令和７,2025,9,女,人,1913486
令和７,2025,10,市域面積,km2,438.23
令和７,2025,10,世帯数,世帯,1792729
令和７,2025,10,人口総数,人,3754840
令和７,2025,10,男,人,1849234
令和７,2025,10,女,人,1905606
令和７,2025,11,市域面積,km2,438.23
令和７,2025,11,世帯数,世帯,1793986
令和７,2025,11,人口総数,人,3755127
令和７,2025,11,男,人,1849352
令和７,2025,11,女,人,1905775
令和７,2025,12,市域面積,km2,438.23
令和７,2025,12,世帯数,世帯,1793808
令和７,2025,12,人口総数,人,3753908
令和７,2025,12,男,人,1848753
令和７,2025,12,女,人,1905155
令和８,2026,1,市域面積,km2,438.23
令和８,2026,1,世帯数,世帯,1793244
令和８,2026,1,人口総数,人,3752321
令和８,2026,1,男,人,1847664
令和８,2026,1,女,人,1904657
令和８,2026,2,市域面積,km2,438.23
令和８,2026,2,世帯数,世帯,1792745
令和８,2026,2,人口総数,人,3750041
令和８,2026,2,男,人,1846383
令和８,2026,2,女,人,1903658
令和８,2026,3,市域面積,km2,438.23
令和８,2026,3,世帯数,世帯,1792965
令和８,2026,3,人口総数,人,3748451
令和８,2026,3,男,人,1845554
令和８,2026,3,女,人,1902897
令和８,2026,4,市域面積,km2,438.23
令和８,2026,4,世帯数,世帯,1803669
令和８,2026,4,人口総数,人,3753758
令和８,2026,4,男,人,1848218
令和８,2026,4,女,人,1905540
令和８,2026,5,市域面積,km2,438.23
令和８,2026,5,世帯数,世帯,1809823
令和８,2026,5,人口総数,人,3759385
令和８,2026,5,男,人,1851227
令和８,2026,5,女,人,1908158
令和８,2026,6,市域面積,km2,438.23
令和８,2026,6,世帯数,世帯,1810755
令和８,2026,6,人口総数,人,3759615
令和８,2026,6,男,人,1851317
令和８,2026,6,女,人,1908298
令和８,2026,7,市域面積,km2,438.23
令和８,2026,7,世帯数,世帯,1811626
令和８,2026,7,人口総数,人,3758990
令和８,2026,7,男,人,1850976
令和８,2026,7,女,人,1908014
令和８,2026,8,市域面積,km2,438.23
令和８,2026,8,世帯数,世帯,1811911
令和８,2026,8,人口総数,人,3757891
令和８,2026,8,男,人,1850332
令和８,2026,8,女,人,1907559
令和８,2026,9,市域面積,km2,438.23
令和８,2026,9,世帯数,世帯,1811326
令和８,2026,9,人口総数,人,3757388
令和８,2026,9,男,人,1849895
令和８,2026,9,女,人,1907493
