年（和暦）,年（西暦）,月,項目,単位,値
平成20,2008,12,人口総数,人,3654326
平成20,2008,12,男,人,1835709
平成20,2008,12,女,人,1818617
平成21,2009,1,市域面積,km2,434.98
平成21,2009,1,世帯数,世帯,1559178
平成21,2009,1,人口総数,人,3654427
平成21,2009,1,男,人,1835383
平成21,2009,1,女,人,1819044
平成21,2009,2,市域面積,km2,434.98
平成21,2009,2,世帯数,世帯,1559152
平成21,2009,2,人口総数,人,3654532
平成21,2009,2,男,人,1835201
平成21,2009,2,女,人,1819331
平成21,2009,3,市域面積,km2,434.98
平成21,2009,3,世帯数,世帯,1559537
平成21,2009,3,人口総数,人,3654429
平成21,2009,3,男,人,1834863
平成21,2009,3,女,人,1819566
平成21,2009,4,市域面積,km2,434.98
平成21,2009,4,世帯数,世帯,1566960
平成21,2009,4,人口総数,人,3659010
平成21,2009,4,男,人,1836826
平成21,2009,4,女,人,1822184
平成21,2009,5,市域面積,km2,434.98
平成21,2009,5,世帯数,世帯,1574042
平成21,2009,5,人口総数,人,3667418
平成21,2009,5,男,人,1841434
平成21,2009,5,女,人,1825984
平成21,2009,6,市域面積,km2,434.98
平成21,2009,6,世帯数,世帯,1575218
平成21,2009,6,人口総数,人,3668939
平成21,2009,6,男,人,1842005
平成21,2009,6,女,人,1826934
平成21,2009,7,市域面積,km2,434.98
平成21,2009,7,世帯数,世帯,1576512
平成21,2009,7,人口総数,人,3670411
平成21,2009,7,男,人,1842683
平成21,2009,7,女,人,1827728
平成21,2009,8,市域面積,km2,434.98
平成21,2009,8,世帯数,世帯,1576718
平成21,2009,8,人口総数,人,3670669
平成21,2009,8,男,人,1842609
平成21,2009,8,女,人,1828060
平成21,2009,9,市域面積,km2,434.98
平成21,2009,9,世帯数,世帯,1577251
平成21,2009,9,人口総数,人,3671611
平成21,2009,9,男,人,1842876
平成21,2009,9,女,人,1828735
平成21,2009,10,市域面積,km2,434.98
平成21,2009,10,世帯数,世帯,1577579
平成21,2009,10,人口総数,人,3671776
平成21,2009,10,男,人,1842613
平成21,2009,10,女,人,1829163
平成21,2009,11,市域面積,km2,434.98
平成21,2009,11,世帯数,世帯,1578953
平成21,2009,11,人口総数,人,3673094
平成21,2009,11,男,人,1843091
平成21,2009,11,女,人,1830003
平成21,2009,12,市域面積,km2,434.98
平成21,2009,12,世帯数,世帯,1578817
平成21,2009,12,人口総数,人,3673323
平成21,2009,12,男,人,1842934
平成21,2009,12,女,人,1830389
平成22,2010,1,市域面積,km2,434.98
平成22,2010,1,世帯数,世帯,1578396
平成22,2010,1,人口総数,人,3672789
平成22,2010,1,男,人,1842474
平成22,2010,1,女,人,1830315
平成22,2010,2,市域面積,km2,434.98
平成22,2010,2,世帯数,世帯,1577852
平成22,2010,2,人口総数,人,3672238
平成22,2010,2,男,人,1841988
平成22,2010,2,女,人,1830250
平成22,2010,3,市域面積,km2,434.98
平成22,2010,3,世帯数,世帯,1577469
平成22,2010,3,人口総数,人,3671386
平成22,2010,3,男,人,1841330
平成22,2010,3,女,人,1830056
平成22,2010,4,市域面積,km2,434.98
平成22,2010,4,世帯数,世帯,1582149
平成22,2010,4,人口総数,人,3672985
平成22,2010,4,男,人,1841658
平成22,2010,4,女,人,1831327
平成22,2010,5,市域面積,km2,434.98
平成22,2010,5,世帯数,世帯,1587785
平成22,2010,5,人口総数,人,3679488
平成22,2010,5,男,人,1845243
平成22,2010,5,女,人,1834245
平成22,2010,6,市域面積,km2,434.98
平成22,2010,6,世帯数,世帯,1588723
平成22,2010,6,人口総数,人,3680267
平成22,2010,6,男,人,1845259
平成22,2010,6,女,人,1835008
平成22,2010,7,市域面積,km2,434.98
平成22,2010,7,世帯数,世帯,1589087
平成22,2010,7,人口総数,人,3680415
平成22,2010,7,男,人,1845005
平成22,2010,7,女,人,1835410
平成22,2010,8,市域面積,km2,434.98
平成22,2010,8,世帯数,世帯,1589464
平成22,2010,8,人口総数,人,3680503
平成22,2010,8,男,人,1844700
平成22,2010,8,女,人,1835803
平成22,2010,9,市域面積,km2,434.98
平成22,2010,9,世帯数,世帯,1589869
平成22,2010,9,人口総数,人,3681279
平成22,2010,9,男,人,1844860
平成22,2010,9,女,人,1836419
平成22,2010,10,市域面積,km2,434.98
平成22,2010,10,世帯数,世帯,1583889
平成22,2010,10,人口総数,人,3688773
平成22,2010,10,男,人,1849767
平成22,2010,10,女,人,1839006
平成22,2010,11,市域面積,km2,434.98
平成22,2010,11,世帯数,世帯,1584899
平成22,2010,11,人口総数,人,3689930
平成22,2010,11,男,人,1850068
平成22,2010,11,女,人,1839862
平成22,2010,12,市域面積,km2,434.98
平成22,2010,12,世帯数,世帯,1584960
平成22,2010,12,人口総数,人,3689838
平成22,2010,12,男,人,1849821
平成22,2010,12,女,人,1840017
平成23,2011,1,市域面積,km2,434.98
平成23,2011,1,世帯数,世帯,1584554
平成23,2011,1,人口総数,人,3689022
平成23,2011,1,男,人,1849009
平成23,2011,1,女,人,1840013
平成23,2011,2,市域面積,km2,434.98
平成23,2011,2,世帯数,世帯,1584068
平成23,2011,2,人口総数,人,3687949
平成23,2011,2,男,人,1848135
平成23,2011,2,女,人,1839814
平成23,2011,3,市域面積,km2,434.98
平成23,2011,3,世帯数,世帯,1583574
平成23,2011,3,人口総数,人,3686552
平成23,2011,3,男,人,1847110
平成23,2011,3,女,人,1839442
平成23,2011,4,市域面積,km2,434.98
平成23,2011,4,世帯数,世帯,1587531
平成23,2011,4,人口総数,人,3686481
平成23,2011,4,男,人,1846492
平成23,2011,4,女,人,1839989
平成23,2011,5,市域面積,km2,434.98
平成23,2011,5,世帯数,世帯,1592533
平成23,2011,5,人口総数,人,3691512
平成23,2011,5,男,人,1849292
平成23,2011,5,女,人,1842220
平成23,2011,6,市域面積,km2,434.98
平成23,2011,6,世帯数,世帯,1593854
平成23,2011,6,人口総数,人,3692438
平成23,2011,6,男,人,1849512
平成23,2011,6,女,人,1842926
平成23,2011,7,市域面積,km2,434.98
平成23,2011,7,世帯数,世帯,1594169
平成23,2011,7,人口総数,人,3691979
平成23,2011,7,男,人,1849047
平成23,2011,7,女,人,1842932
平成23,2011,8,市域面積,km2,434.98
平成23,2011,8,世帯数,世帯,1594377
平成23,2011,8,人口総数,人,3691758
平成23,2011,8,男,人,1848686
平成23,2011,8,女,人,1843072
平成23,2011,9,市域面積,km2,434.98
平成23,2011,9,世帯数,世帯,1594865
平成23,2011,9,人口総数,人,3692370
平成23,2011,9,男,人,1848837
平成23,2011,9,女,人,1843533
平成23,2011,10,市域面積,km2,434.98
平成23,2011,10,世帯数,世帯,1594871
平成23,2011,10,人口総数,人,3691693
平成23,2011,10,男,人,1848158
平成23,2011,10,女,人,1843535
平成23,2011,11,市域面積,km2,434.98
平成23,2011,11,世帯数,世帯,1595492
平成23,2011,11,人口総数,人,3692295
平成23,2011,11,男,人,1848323
平成23,2011,11,女,人,1843972
平成23,2011,12,市域面積,km2,434.98
平成23,2011,12,世帯数,世帯,1595557
平成23,2011,12,人口総数,人,3692443
平成23,2011,12,男,人,1848176
平成23,2011,12,女,人,1844267
平成24,2012,1,市域面積,km2,434.98
平成24,2012,1,世帯数,世帯,1595139
平成24,2012,1,人口総数,人,3691240
平成24,2012,1,男,人,1847207
平成24,2012,1,女,人,1844033
平成24,2012,2,市域面積,km2,434.98
平成24,2012,2,世帯数,世帯,1594669
平成24,2012,2,人口総数,人,3690445
平成24,2012,2,男,人,1846508
平成24,2012,2,女,人,1843937
平成24,2012,3,市域面積,km2,434.98
平成24,2012,3,世帯数,世帯,1594179
平成24,2012,3,人口総数,人,3689143
平成24,2012,3,男,人,1845645
平成24,2012,3,女,人,1843498
平成24,2012,4,市域面積,km2,434.98
平成24,2012,4,世帯数,世帯,1598341
平成24,2012,4,人口総数,人,3688624
平成24,2012,4,男,人,1844679
平成24,2012,4,女,人,1843945
平成24,2012,5,市域面積,km2,434.98
平成24,2012,5,世帯数,世帯,1604819
平成24,2012,5,人口総数,人,3696419
平成24,2012,5,男,人,1848947
平成24,2012,5,女,人,1847472
平成24,2012,6,市域面積,km2,434.98
平成24,2012,6,世帯数,世帯,1606256
平成24,2012,6,人口総数,人,3697894
平成24,2012,6,男,人,1849450
平成24,2012,6,女,人,1848444
平成24,2012,7,市域面積,km2,434.98
平成24,2012,7,世帯数,世帯,1606500
平成24,2012,7,人口総数,人,3697432
平成24,2012,7,男,人,1848872
平成24,2012,7,女,人,1848560
平成24,2012,8,市域面積,km2,434.98
平成24,2012,8,世帯数,世帯,1606627
平成24,2012,8,人口総数,人,3697426
平成24,2012,8,男,人,1848813
平成24,2012,8,女,人,1848613
平成24,2012,9,市域面積,km2,434.98
平成24,2012,9,世帯数,世帯,1606560
平成24,2012,9,人口総数,人,3697591
平成24,2012,9,男,人,1848680
平成24,2012,9,女,人,1848911
平成24,2012,10,市域面積,km2,434.98
平成24,2012,10,世帯数,世帯,1606472
平成24,2012,10,人口総数,人,3697006
平成24,2012,10,男,人,1848065
平成24,2012,10,女,人,1848941
平成24,2012,11,市域面積,km2,435.17
平成24,2012,11,世帯数,世帯,1607702
平成24,2012,11,人口総数,人,3698828
平成24,2012,11,男,人,1848832
平成24,2012,11,女,人,1849996
平成24,2012,12,市域面積,km2,435.17
平成24,2012,12,世帯数,世帯,1607585
平成24,2012,12,人口総数,人,3698437
平成24,2012,12,男,人,1848356
平成24,2012,12,女,人,1850081
平成25,2013,1,市域面積,km2,435.17
平成25,2013,1,世帯数,世帯,1606723
平成25,2013,1,人口総数,人,3697035
平成25,2013,1,男,人,1847295
平成25,2013,1,女,人,1849740
平成25,2013,2,市域面積,km2,435.17
平成25,2013,2,世帯数,世帯,1606346
平成25,2013,2,人口総数,人,3696170
平成25,2013,2,男,人,1846667
平成25,2013,2,女,人,1849503
平成25,2013,3,市域面積,km2,435.17
平成25,2013,3,世帯数,世帯,1605989
平成25,2013,3,人口総数,人,3694802
平成25,2013,3,男,人,1845693
平成25,2013,3,女,人,1849109
平成25,2013,4,市域面積,km2,435.17
平成25,2013,4,世帯数,世帯,1609747
平成25,2013,4,人口総数,人,3693788
平成25,2013,4,男,人,1844560
平成25,2013,4,女,人,1849228
平成25,2013,5,市域面積,km2,435.17
平成25,2013,5,世帯数,世帯,1615682
平成25,2013,5,人口総数,人,3701475
平成25,2013,5,男,人,1848848
平成25,2013,5,女,人,1852627
平成25,2013,6,市域面積,km2,435.17
平成25,2013,6,世帯数,世帯,1616601
平成25,2013,6,人口総数,人,3702047
平成25,2013,6,男,人,1849076
平成25,2013,6,女,人,1852971
平成25,2013,7,市域面積,km2,435.17
平成25,2013,7,世帯数,世帯,1616751
平成25,2013,7,人口総数,人,3701712
平成25,2013,7,男,人,1848597
平成25,2013,7,女,人,1853115
平成25,2013,8,市域面積,km2,435.17
平成25,2013,8,世帯数,世帯,1617100
平成25,2013,8,人口総数,人,3701971
平成25,2013,8,男,人,1848527
平成25,2013,8,女,人,1853444
平成25,2013,9,市域面積,km2,435.17
平成25,2013,9,世帯数,世帯,1617518
平成25,2013,9,人口総数,人,3702414
平成25,2013,9,男,人,1848651
平成25,2013,9,女,人,1853763
平成25,2013,10,市域面積,km2,435.17
平成25,2013,10,世帯数,世帯,1617839
平成25,2013,10,人口総数,人,3702551
平成25,2013,10,男,人,1848452
平成25,2013,10,女,人,1854099
平成25,2013,11,市域面積,km2,435.17
平成25,2013,11,世帯数,世帯,1619020
平成25,2013,11,人口総数,人,3703998
平成25,2013,11,男,人,1849159
平成25,2013,11,女,人,1854839
平成25,2013,12,市域面積,km2,435.17
平成25,2013,12,世帯数,世帯,1619009
平成25,2013,12,人口総数,人,3703852
平成25,2013,12,男,人,1848916
平成25,2013,12,女,人,1854936
平成26,2014,1,市域面積,km2,435.17
平成26,2014,1,世帯数,世帯,1618734
平成26,2014,1,人口総数,人,3703258
平成26,2014,1,男,人,1848421
平成26,2014,1,女,人,1854837
平成26,2014,2,市域面積,km2,435.21
平成26,2014,2,世帯数,世帯,1618395
平成26,2014,2,人口総数,人,3702225
平成26,2014,2,男,人,1847709
平成26,2014,2,女,人,1854516
平成26,2014,3,市域面積,km2,435.21
平成26,2014,3,世帯数,世帯,1617991
平成26,2014,3,人口総数,人,3700962
平成26,2014,3,男,人,1846982
平成26,2014,3,女,人,1853980
平成26,2014,4,市域面積,km2,435.21
平成26,2014,4,世帯数,世帯,1623606
平成26,2014,4,人口総数,人,3702093
平成26,2014,4,男,人,1847203
平成26,2014,4,女,人,1854890
平成26,2014,5,市域面積,km2,435.21
平成26,2014,5,世帯数,世帯,1628880
平成26,2014,5,人口総数,人,3708122
平成26,2014,5,男,人,1850354
平成26,2014,5,女,人,1857768
平成26,2014,6,市域面積,km2,435.21
平成26,2014,6,世帯数,世帯,1629796
平成26,2014,6,人口総数,人,3708966
平成26,2014,6,男,人,1850623
平成26,2014,6,女,人,1858343
平成26,2014,7,市域面積,km2,435.21
平成26,2014,7,世帯数,世帯,1630553
平成26,2014,7,人口総数,人,3709777
平成26,2014,7,男,人,1850886
平成26,2014,7,女,人,1858891
平成26,2014,8,市域面積,km2,435.21
平成26,2014,8,世帯数,世帯,1630756
平成26,2014,8,人口総数,人,3709686
平成26,2014,8,男,人,1850719
平成26,2014,8,女,人,1858967
平成26,2014,9,市域面積,km2,435.21
平成26,2014,9,世帯数,世帯,1630884
平成26,2014,9,人口総数,人,3709727
平成26,2014,9,男,人,1850603
平成26,2014,9,女,人,1859124
平成26,2014,10,市域面積,km2,435.21
平成26,2014,10,世帯数,世帯,1631395
平成26,2014,10,人口総数,人,3710008
平成26,2014,10,男,人,1850488
平成26,2014,10,女,人,1859520
平成26,2014,11,市域面積,km2,435.21
平成26,2014,11,世帯数,世帯,1632537
平成26,2014,11,人口総数,人,3711540
平成26,2014,11,男,人,1851250
平成26,2014,11,女,人,1860290
平成26,2014,12,市域面積,km2,435.21
平成26,2014,12,世帯数,世帯,1632759
平成26,2014,12,人口総数,人,3711631
平成26,2014,12,男,人,1851182
平成26,2014,12,女,人,1860449
平成27,2015,1,市域面積,km2,435.21
平成27,2015,1,世帯数,世帯,1632699
平成27,2015,1,人口総数,人,3711450
平成27,2015,1,男,人,1850872
平成27,2015,1,女,人,1860578
平成27,2015,2,市域面積,km2,435.21
平成27,2015,2,世帯数,世帯,1632451
平成27,2015,2,人口総数,人,3710824
